price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
495000,planta 1,exterior,3,118,True,True,Chopera,Arganzuela
485000,planta 2,exterior,2,82,True,True,Palos de Moguer,Arganzuela
315000,planta 2,exterior,2,72,False,False,Legazpi,Arganzuela
585000,planta 4,exterior,2,174,True,True,Palos de Moguer,Arganzuela
255000,bajo,exterior,3,75,False,False,Acacias,Arganzuela
299000,planta 1,exterior,1,69,True,False,Chopera,Arganzuela
265000,planta 3,exterior,2,54,True,False,Delicias,Arganzuela
290000,planta 3,interior,4,69,True,False,Chopera,Arganzuela
660220,planta 2,exterior,3,129,True,True,Imperial,Arganzuela
525000,planta 4,exterior,4,111,True,False,Chopera,Arganzuela
429900,bajo,interior,3,139,False,False,Acacias,Arganzuela
385000,planta 6,exterior,4,100,True,False,Chopera,Arganzuela
299000,planta 2,exterior,3,85,True,False,Delicias,Arganzuela
430000,planta 3,exterior,2,92,True,False,Palos de Moguer,Arganzuela
350000,planta 2,exterior,2,91,True,False,Imperial,Arganzuela
350000,planta 2,exterior,2,91,True,False,Imperial,Arganzuela
479000,planta 1,exterior,4,121,True,False,Imperial,Arganzuela
420000,planta 4,exterior,2,105,True,False,Palos de Moguer,Arganzuela
239000,planta 3,interior,2,54,True,False,Palos de Moguer,Arganzuela
585000,planta 4,exterior,2,110,True,True,Palos de Moguer,Arganzuela
410000,planta 5,exterior,3,79,True,False,Acacias,Arganzuela
293000,planta 2,exterior,2,77,True,False,Palos de Moguer,Arganzuela
190000,planta 3,exterior,2,48,False,False,Imperial,Arganzuela
299000,planta 5,interior,2,60,True,False,Palos de Moguer,Arganzuela
360000,planta 5,exterior,1,62,True,True,Imperial,Arganzuela
335000,planta 5,exterior,1,54,True,True,Imperial,Arganzuela
359900,planta 8,exterior,1,62,True,True,Legazpi,Arganzuela
235000,planta 2,interior,1,59,True,False,Palos de Moguer,Arganzuela
315000,planta 2,exterior,3,72,True,False,Delicias,Arganzuela
530000,planta 6,exterior,2,133,True,False,Palos de Moguer,Arganzuela
293000,planta 2,exterior,2,77,True,False,Palos de Moguer,Arganzuela
310000,planta 2,exterior,3,72,True,False,Delicias,Arganzuela
387900,planta 2,exterior,1,64,True,True,Legazpi,Arganzuela
729000,planta 3,exterior,5,175,True,False,Imperial,Arganzuela
243000,planta 3,exterior,3,55,False,False,Legazpi,Arganzuela
460000,planta 4,exterior,4,125,True,False,Delicias,Arganzuela
458000,planta 1,exterior,2,71,True,True,Imperial,Arganzuela
475000,planta 1,exterior,2,95,True,True,Legazpi,Arganzuela
357000,planta 1,exterior,1,86,True,True,Legazpi,Arganzuela
550000,planta 2,interior,3,130,True,False,Imperial,Arganzuela
475000,planta 4,exterior,2,105,True,True,Legazpi,Arganzuela
293000,planta 2,interior,3,74,True,False,Palos de Moguer,Arganzuela
282900,planta 2,exterior,2,47,True,False,Acacias,Arganzuela
235000,planta 3,interior,1,36,True,False,Delicias,Arganzuela
385000,planta 4,interior,2,98,True,False,Legazpi,Arganzuela
390000,planta 1,exterior,3,95,True,False,Chopera,Arganzuela
575000,planta 2,interior,3,143,True,True,Acacias,Arganzuela
530000,planta 6,exterior,2,133,True,False,Palos de Moguer,Arganzuela
780000,planta 8,exterior,4,160,True,False,Imperial,Arganzuela
210000,planta 3,exterior,2,53,False,False,Legazpi,Arganzuela
569000,bajo,interior,3,115,True,True,Dúplex en Legazpi,Arganzuela
370000,planta 1,exterior,3,103,True,False,Palos de Moguer,Arganzuela
375000,planta 1,interior,3,99,True,False,Palos de Moguer,Arganzuela
399000,planta 1,exterior,3,86,False,False,Delicias,Arganzuela
1150000,planta 18,exterior,4,209,True,True,Legazpi,Arganzuela
293000,planta 2,exterior,2,77,True,False,Palos de Moguer,Arganzuela
350000,planta 2,exterior,2,91,True,False,Imperial,Arganzuela
275000,bajo,exterior,2,94,True,False,Imperial,Arganzuela
410000,planta 1,exterior,3,117,True,False,Imperial,Arganzuela
